HomeTeam,AwayTeam,HTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,FTR,FTR,主场胜利=0 客场胜利=1 平局=2
Crystal Palace,Arsenal,1,0,1,10,10,2,2,16,11,3,5,1,2,0,0,4.6,3.65,1.89,4.39,3.55,1.86,1,1,
Fulham,Liverpool,0,1,0,9,11,3,4,7,9,4,4,2,0,0,0,13,6.22,1.28,11.53,5.87,1.27,2,2,
Bournemouth,Aston Villa,0,1,0,7,15,3,2,18,16,5,5,3,3,0,0,3.93,3.58,2.05,3.76,3.42,2.02,0,0,
Leeds,Wolves,2,1,1,12,15,4,6,13,9,6,4,2,0,0,0,2.39,3.4,3.3,2.3,3.31,3.15,0,0,
Newcastle,Nott'm Forest,2,0,0,23,5,10,0,9,14,11,1,0,3,0,0,1.71,3.8,5.83,1.66,3.76,5.47,0,0,
Tottenham,Southampton,0,2,1,18,10,8,2,11,6,10,2,3,0,4,0,1.37,5.5,9.11,1.35,5.23,8.52,0,0,
Everton,Chelsea,1,0,1,8,15,4,6,14,11,4,16,3,2,0,0,6.04,4.06,1.63,5.68,3.87,1.61,1,1,
Leicester,Brentford,0,1,0,14,8,5,3,6,5,5,6,0,0,0,0,2.07,3.75,3.74,2.01,3.63,3.58,2,2,
Man United,Brighton,1,0,2,17,15,5,4,7,12,6,2,4,1,0,0,1.65,4.2,5.75,1.61,3.99,5.57,1,1,
West Ham,Man City,1,0,1,6,14,1,2,8,4,1,4,0,1,0,0,9,5.48,1.38,8.22,5.12,1.36,1,1,
Aston Villa,Everton,0,1,0,12,15,4,4,9,7,5,8,4,1,0,0,1.83,3.6,5.12,1.81,3.52,4.83,0,0,
Arsenal,Leicester,0,2,0,19,6,7,2,15,9,6,2,1,1,0,0,1.58,4.4,6.22,1.53,4.31,5.92,0,0,
Brighton,Newcastle,2,0,0,13,4,7,1,8,6,7,3,2,3,0,0,2.48,3.25,3.22,2.42,3.21,3.08,2,2,
Man City,Bournemouth,0,3,0,19,3,7,1,9,9,11,1,0,3,0,0,1.08,13.82,41,1.07,12.55,33.83,0,0,
Southampton,Leeds,2,0,0,14,13,4,5,10,12,2,5,1,3,0,0,2.34,3.55,3.18,2.27,3.45,3.1,2,2,
Wolves,Fulham,2,0,0,7,9,1,3,7,14,5,3,3,3,0,0,2.44,3.3,3.29,2.36,3.25,3.15,2,2,
